WARD SECTION (CONCATENATED),WARD,SECTION,MONTH NAME,MONTH NUMBER,DATES,Test Column
0101,01,01,APRIL,4,"1,2",0101
0101,01,01,MAY,5,"1,2",0101
0101,01,01,JUNE,6,"3,4",0101
0101,01,01,JULY,7,"5,8",0101
0101,01,01,AUGUST,8,"6,7",0101
0101,01,01,SEPTEMBER,9,"6,9",0101
0101,01,01,OCTOBER,10,"8,9",0101
0101,01,01,NOVEMBER,11,"8,12",0101
0102,01,02,APRIL,4,"3,4",0102
0102,01,02,MAY,5,"3,6",0102
0102,01,02,JUNE,6,"5,6",0102
0102,01,02,JULY,7,"9,10",0102
0102,01,02,AUGUST,8,"8,9",0102
0102,01,02,SEPTEMBER,9,"10,11",0102
0102,01,02,OCTOBER,10,"10,11",0102
0102,01,02,NOVEMBER,11,"13,14",0102
0103,01,03,APRIL,4,"5,8",0103
0103,01,03,MAY,5,"7,8",0103
0103,01,03,JUNE,6,"7,10",0103
0103,01,03,JULY,7,"11,12",0103
0103,01,03,AUGUST,8,"12,13",0103
0103,01,03,SEPTEMBER,9,"12,13",0103
0103,01,03,OCTOBER,10,"15,16",0103
0103,01,03,NOVEMBER,11,"15,18",0103
0104,01,04,APRIL,4,"9,10",0104
0104,01,04,MAY,5,"9,10",0104
0104,01,04,JUNE,6,"11,12",0104
0104,01,04,JULY,7,"15,16",0104
0104,01,04,AUGUST,8,"14,15",0104
0104,01,04,SEPTEMBER,9,"16,17",0104
0104,01,04,OCTOBER,10,"17,18",0104
0104,01,04,NOVEMBER,11,"19,20",0104
0105,01,05,APRIL,4,"11,12",0105
0105,01,05,MAY,5,"13,14",0105
0105,01,05,JUNE,6,"13,14",0105
0105,01,05,JULY,7,"17,18",0105
0105,01,05,AUGUST,8,"16,19",0105
0105,01,05,SEPTEMBER,9,"18,19",0105
0105,01,05,OCTOBER,10,"21,22",0105
0105,01,05,NOVEMBER,11,"21,22",0105
0106,01,06,APRIL,4,"15,16",0106
0106,01,06,MAY,5,"15,16",0106
0106,01,06,JUNE,6,"17,18",0106
0106,01,06,JULY,7,"19,22",0106
0106,01,06,AUGUST,8,"20,21",0106
0106,01,06,SEPTEMBER,9,"20,23",0106
0106,01,06,OCTOBER,10,"23,24",0106
0107,01,07,APRIL,4,"17,18",0107
0107,01,07,MAY,5,"17,20",0107
0107,01,07,JUNE,6,"20,21",0107
0107,01,07,JULY,7,"23,24",0107
0107,01,07,AUGUST,8,"22,23",0107
0107,01,07,SEPTEMBER,9,"24,25",0107
0107,01,07,OCTOBER,10,"25,28",0107
0108,01,08,APRIL,4,"19,22",0108
0108,01,08,MAY,5,"21,22",0108
0108,01,08,JUNE,6,"24,25",0108
0108,01,08,JULY,7,"25,26",0108
0108,01,08,AUGUST,8,"26,27",0108
0108,01,08,SEPTEMBER,9,"26,27",0108
0108,01,08,OCTOBER,10,"29,30",0108
0109,01,09,APRIL,4,"23,24",0109
0109,01,09,MAY,5,"23,24",0109
0109,01,09,JUNE,6,"26,27",0109
0109,01,09,JULY,7,"29,30",0109
0109,01,09,AUGUST,8,"28,29",0109
0109,01,09,SEPTEMBER,9,30,0109
0109,01,09,OCTOBER,10,"1,31",0109
0109,01,09,NOVEMBER,11,1,0109
0110,01,10,APRIL,4,"25,26",0110
0110,01,10,MAY,5,"28,29",0110
0110,01,10,JUNE,6,28,0110
0110,01,10,JULY,7,"1,31",0110
0110,01,10,AUGUST,8,"1,30",0110
0110,01,10,SEPTEMBER,9,3,0110
0110,01,10,OCTOBER,10,"2,3",0110
0110,01,10,NOVEMBER,11,"4,5",0110
0111,01,11,APRIL,4,"29,30",0111
0111,01,11,MAY,5,"30,31",0111
0111,01,11,JULY,7,"2,3",0111
0111,01,11,AUGUST,8,"2,5",0111
0111,01,11,SEPTEMBER,9,"4,5",0111
0111,01,11,OCTOBER,10,"4,7",0111
0111,01,11,NOVEMBER,11,"6,7",0111
0201,02,01,APRIL,4,"1,2,15,16,29,30",0201
0201,02,01,MAY,5,"13,14,28,29",0201
0201,02,01,JUNE,6,"11,12,26,27",0201
0201,02,01,JULY,7,"11,12,25,26",0201
0201,02,01,AUGUST,8,"8,9,22,23",0201
0201,02,01,SEPTEMBER,9,"6,9,20,23",0201
0201,02,01,OCTOBER,10,"4,7,21,22",0201
0201,02,01,NOVEMBER,11,"4,5,19,20",0201
0202,02,02,APRIL,4,"3,4,17,18",0202
0202,02,02,MAY,5,"1,2,15,16,30,31",0202
0202,02,02,JUNE,6,"13,14,28",0202
0202,02,02,JULY,7,"1,15,16,29,30",0202
0202,02,02,AUGUST,8,"12,13,26,27",0202
0202,02,02,SEPTEMBER,9,"10,11,24,25",0202
0202,02,02,OCTOBER,10,"8,9,23,24",0202
0202,02,02,NOVEMBER,11,"6,7,21,22",0202
0203,02,03,APRIL,4,"5,8,19,22",0203
0203,02,03,MAY,5,"3,6,17,20",0203
0203,02,03,JUNE,6,"3,4,17,18",0203
0203,02,03,JULY,7,"2,3,17,18,31",0203
0203,02,03,AUGUST,8,"1,14,15,28,29",0203
0203,02,03,SEPTEMBER,9,"12,13,26,27",0203
0203,02,03,OCTOBER,10,"10,11,25,28",0203
0203,02,03,NOVEMBER,11,"8,12",0203
0204,02,04,APRIL,4,"2,3,9,10,16,17,23,24,30",0204
0204,02,04,MAY,5,"1,7,8,14,15,21,22,28,29",0204
0204,02,04,JUNE,6,"4,5,11,12,18,25,26",0204
0204,02,04,JULY,7,"2,3,9,10,16,17,23,24,30,31",0204
0204,02,04,AUGUST,8,"6,7,13,14,20,21,27,28",0204
0204,02,04,SEPTEMBER,9,"3,4,10,11,17,18,24,25",0204
0204,02,04,OCTOBER,10,"1,2,8,9,15,16,22,23,29,30",0204
0205,02,05,APRIL,4,"2,3,9,10,16,17,23,24,30",0205
0205,02,05,MAY,5,"1,7,8,14,15,21,22,28,29",0205
0205,02,05,JUNE,6,"4,5,11,12,18,25,26",0205
0205,02,05,JULY,7,"2,3,9,10,16,17,23,24,30,31",0205
0205,02,05,AUGUST,8,"6,7,13,14,20,21,27,28",0205
0205,02,05,SEPTEMBER,9,"3,4,10,11,17,18,24,25",0205
0205,02,05,OCTOBER,10,"1,2,8,9,15,16,22,23,29,30",0205
0206,02,06,APRIL,4,"9,10,23,24",0206
0206,02,06,MAY,5,"7,8,21,22",0206
0206,02,06,JUNE,6,"5,6,20,21",0206
0206,02,06,JULY,7,"5,8,19,22",0206
0206,02,06,AUGUST,8,"2,5,16,19,30",0206
0206,02,06,SEPTEMBER,9,"3,16,17,30",0206
0206,02,06,OCTOBER,10,"1,15,16,29,30",0206
0206,02,06,NOVEMBER,11,"13,14",0206
0207,02,07,APRIL,4,"11,12,25,26",0207
0207,02,07,MAY,5,"9,10,23,24",0207
0207,02,07,JUNE,6,"7,10,24,25",0207
0207,02,07,JULY,7,"9,10,23,24",0207
0207,02,07,AUGUST,8,"6,7,20,21",0207
0207,02,07,SEPTEMBER,9,"4,5,18,19",0207
0207,02,07,OCTOBER,10,"2,3,17,18,31",0207
0207,02,07,NOVEMBER,11,"1,15,18",0207
0301,03,01,APRIL,4,"1,2",0301
0301,03,01,MAY,5,"7,8",0301
0301,03,01,JUNE,6,"13,14",0301
0301,03,01,JULY,7,"23,24",0301
0301,03,01,AUGUST,8,"28,29",0301
0301,03,01,OCTOBER,10,"4,7",0301
0301,03,01,NOVEMBER,11,"13,14",0301
0302,03,02,APRIL,4,"3,4",0302
0302,03,02,MAY,5,"9,10",0302
0302,03,02,JUNE,6,"17,18",0302
0302,03,02,JULY,7,"25,26",0302
0302,03,02,AUGUST,8,30,0302
0302,03,02,SEPTEMBER,9,3,0302
0302,03,02,OCTOBER,10,"8,9",0302
0302,03,02,NOVEMBER,11,"15,18",0302
0303,03,03,APRIL,4,"5,8",0303
0303,03,03,MAY,5,"13,14",0303
0303,03,03,JUNE,6,"20,21",0303
0303,03,03,JULY,7,"29,30",0303
0303,03,03,SEPTEMBER,9,"4,5",0303
0303,03,03,OCTOBER,10,"10,11",0303
0303,03,03,NOVEMBER,11,"19,20",0303
0304,03,04,APRIL,4,"9,10",0304
0304,03,04,MAY,5,"15,16",0304
0304,03,04,JUNE,6,"24,25,",0304
0304,03,04,JULY,7,31,0304
0304,03,04,AUGUST,8,1,0304
0304,03,04,SEPTEMBER,9,"6,9",0304
0304,03,04,OCTOBER,10,"15,16",0304
0304,03,04,NOVEMBER,11,"21,22",0304
0305,03,05,APRIL,4,"11,12",0305
0305,03,05,MAY,5,"17,20",0305
0305,03,05,JUNE,6,"26,27",0305
0305,03,05,AUGUST,8,"2,5",0305
0305,03,05,SEPTEMBER,9,"10,11",0305
0305,03,05,OCTOBER,10,"17,18",0305
0306,03,06,APRIL,4,"15,16",0306
0306,03,06,MAY,5,"21,22",0306
0306,03,06,JUNE,6,28,0306
0306,03,06,JULY,7,1,0306
0306,03,06,AUGUST,8,"6,7",0306
0306,03,06,SEPTEMBER,9,"12,13",0306
0306,03,06,OCTOBER,10,"21,22",0306
0307,03,07,APRIL,4,"17,18",0307
0307,03,07,MAY,5,"23,24",0307
0307,03,07,JULY,7,"2,3",0307
