"WARD SECTION (CONCATENATED)","WARD","SECTION","MONTH NAME","MONTH NUMBER","DATES"
"0101","01","01","APRIL","4","1,2"
"0101","01","01","MAY","5","13,14"
"0101","01","01","JUNE","6","26,29"
"0101","01","01","AUGUST","8","10,11"
"0101","01","01","SEPTEMBER","9","22,23"
"0101","01","01","NOVEMBER","11","4,5"
"0102","01","02","APRIL","4","3,6"
"0102","01","02","MAY","5","15,18"
"0102","01","02","JUNE","6","30"
"0102","01","02","JULY","7","1"
"0102","01","02","AUGUST","8","12,13"
"0102","01","02","SEPTEMBER","9","24,25"
"0102","01","02","NOVEMBER","11","6,9"
"0103","01","03","APRIL","4","7,8"
"0103","01","03","MAY","5","19,20"
"0103","01","03","JULY","7","2,6"
"0103","01","03","AUGUST","8","14,17"
"0103","01","03","SEPTEMBER","9","28,29"
"0103","01","03","NOVEMBER","11","10,12"
"0104","01","04","APRIL","4","9,10"
"0104","01","04","MAY","5","21,22"
"0104","01","04","JULY","7","7,8"
"0104","01","04","AUGUST","8","18,19"
"0104","01","04","SEPTEMBER","9","30"
"0104","01","04","OCTOBER","10","1"
"0104","01","04","NOVEMBER","11","13,16"
"0105","01","05","APRIL","4","13,14"
"0105","01","05","MAY","5","26,27"
"0105","01","05","JUNE","6","9,10"
"0105","01","05","AUGUST","8","20,21"
"0105","01","05","OCTOBER","10","2,5"
"0105","01","05","NOVEMBER","11","17,18"
"0106","01","06","APRIL","4","15,16"
"0106","01","06","MAY","5","28,29"
"0106","01","06","JULY","7","13,14"
"0106","01","06","AUGUST","8","24,25"
"0106","01","06","OCTOBER","10","6,7"
"0106","01","06","NOVEMBER","11","19,20"
"0107","01","07","APRIL","4","17,20"
"0107","01","07","JUNE","6","1,2"
"0107","01","07","JULY","7","15,16"
"0107","01","07","AUGUST","8","26,27"
"0107","01","07","OCTOBER","10","8,9"
"0108","01","08","APRIL","4","21,22"
"0108","01","08","JUNE","6","3,4"
"0108","01","08","JULY","7","17,20"
"0108","01","08","AUGUST","8","28,31"
"0108","01","08","OCTOBER","10","13,14"
"0109","01","09","APRIL","4","23,24"
"0109","01","09","JUNE","6","5,8"
"0109","01","09","JULY","7","21,22"
"0109","01","09","AUGUST","8","1,2"
"0109","01","09","OCTOBER","10","15,16"
"0110","01","10","APRIL","4","27,28"
"0110","01","10","JUNE","6","9,10"
"0110","01","10","JULY","7","23,24"
"0110","01","10","SEPTEMBER","9","3,4"
"0110","01","10","OCTOBER","10","19,20"
"0111","01","11","APRIL","4","29,30"
"0111","01","11","JUNE","6","11,12"
"0111","01","11","JULY","7","27,28"
"0111","01","11","SEPTEMBER","9","8,9"
"0111","01","11","OCTOBER","10","21,22"
"0112","01","12","MAY","5","1,4"
"0112","01","12","JUNE","6","15,16"
"0112","01","12","JULY","7","29,30"
"0112","01","12","SEPTEMBER","9","10,11"
"0112","01","12","OCTOBER","10","23,26"
"0113","01","13","MAY","5","5,6"
"0113","01","13","JUNE","6","17,18"
"0113","01","13","JULY","7","31"
"0113","01","13","AUGUST","8","3"
"0113","01","13","SEPTEMBER","9","14,15"
"0113","01","13","OCTOBER","10","27,28"
"0114","01","14","MAY","5","7,8"
"0114","01","14","JUNE","6","22,23"
"0114","01","14","AUGUST","8","4,5"
"0114","01","14","SEPTEMBER","9","16,17"
"0114","01","14","OCTOBER","10","29,30"
"0115","01","15","MAY","5","11,12"
"0115","01","15","JUNE","6","24,25"
"0115","01","15","AUGUST","8","6,7"
"0115","01","15","OCTOBER","10","18,21"
"0115","01","15","NOVEMBER","11","2,3"
"0201","02","01","APRIL","4","1,2,15,16,29,30"
"0201","02","01","MAY","5","13,14,28,29"
"0201","02","01","JUNE","6","11,12,26,29"
"0201","02","01","JULY","7","13,14,27,28"
"0201","02","01","AUGUST","8","10,11,24,25"
"0201","02","01","SEPTEMBER","9","8,9,22,23"
"0201","02","01","OCTOBER","10","6,7,21,22"
"0201","02","01","NOVEMBER","11","4,5,19,20"
"0202","02","02","APRIL","4","3,6,17,20"
"0202","02","02","MAY","5","1,4,15,18"
"0202","02","02","JUNE","6","1,2,15,16,30"
"0202","02","02","JULY","7","1,15,16,29,30"
"0202","02","02","AUGUST","8","12,13,26,27"
"0202","02","02","SEPTEMBER","9","10,11,24,25"
"0202","02","02","OCTOBER","10","8,9,23,26"
"0202","02","02","NOVEMBER","11","6,9"
"0203","02","03","APRIL","4","7,8,21,22"
"0203","02","03","MAY","5","5,6,19,20"
"0203","02","03","JUNE","6","3,4,17,18"
"0203","02","03","JULY","7","2,6,17,20,31"
"0203","02","03","AUGUST","8","3,14,17,28,31"
"0203","02","03","SEPTEMBER","9","14,15,26,29"
"0203","02","03","OCTOBER","10","13,14,27,28"
"0203","02","03","NOVEMBER","11","10,12"
"0204","02","04","APRIL","4","1,7,8,14,15,21,22,28,29"
"0204","02","04","MAY","5","5,6,12,13,19,20,26,27"
"0204","02","04","JUNE","6","2,3,9,10,16,17,23,24,30"
"0204","02","04","JULY","7","1,7,8,14,15,21,22,28,29"
"0204","02","04","AUGUST","8","4,5,11,12,18,19,25,26"
"0204","02","04","SEPTEMBER","9","1,2,8,9,15,16,22,23,29,30"
"0204","02","04","OCTOBER","10","6,7,13,14,20,21,27,28"
"0204","02","04","NOVEMBER","11","3,4,10,17,18"
"0205","02","05","APRIL","4","1,7,8,14,15,21,22,28,29"
"0205","02","05","MAY","5","5,6,12,13,19,20,26,27"
"0205","02","05","JUNE","6","2,3,9,10,16,17,23,24,30"
"0205","02","05","JULY","7","1,7,8,14,15,21,22,28,29"
"0205","02","05","AUGUST","8","4,5,11,12,18,19,25,26"
"0205","02","05","SEPTEMBER","9","1,2,8,9,15,16,22,23,29,30"
"0205","02","05","OCTOBER","10","6,7,13,14,20,21,27,28"
"0205","02","05","NOVEMBER","11","3,4,10,17,18"
"0206","02","06","APRIL","4","9,10,23,24"
"0206","02","06","MAY","5","7,8,21,22"
"0206","02","06","JUNE","6","5,8,22,23"
"0206","02","06","JULY","7","7,8,21,22"
"0206","02","06","AUGUST","8","4,5,18,19"
"0206","02","06","SEPTEMBER","9","1,2,16,17,30"
"0206","02","06","OCTOBER","10","1,15,16,29,30"
"0206","02","06","NOVEMBER","11","13,16"
"0207","02","07","APRIL","4","13,14,27,28"
"0207","02","07","MAY","5","11,12,26,27"
"0207","02","07","JUNE","6","9,10,24,25"
"0207","02","07","JULY","7","9,10,23,24"
"0207","02","07","AUGUST","8","6,7,20,21"
"0207","02","07","SEPTEMBER","9","3,4,18,21"
"0207","02","07","OCTOBER","10","2,5,19,20"
"0207","02","07","NOVEMBER","11","2,3,17,18"
"0301","03","01","APRIL","4","1,2"
"0301","03","01","MAY","5","15,18"
"0301","03","01","JULY","7","2,6"
"0301","03","01","AUGUST","8","18,19"
"0301","03","01","OCTOBER","10","2,5"
"0302","03","02","APRIL","4","3,6"
"0302","03","02","MAY","5","19,20"
"0302","03","02","JULY","7","7,8"
"0302","03","02","AUGUST","8","20,21"
"0302","03","02","OCTOBER","10","6,7"
"0303","03","03","APRIL","4","7,8"
"0303","03","03","MAY","5","21,22"
"0303","03","03","JULY","7","9,10"
"0303","03","03","AUGUST","8","24,25"
"0303","03","03","OCTOBER","10","8,9"
"0304","03","04","APRIL","4","9,10"
"0304","03","04","MAY","5","26,27"
"0304","03","04","JULY","7","13,14"
"0304","03","04","AUGUST","8","26,27"
"0304","03","04","OCTOBER","10","13,14"
"0305","03","05","APRIL","4","13,14"
