"WARD","ALDERMAN","ADDRESS","CITY","STATE","ZIPCODE","WARD PHONE","WARD FAX","EMAIL","WEBSITE","LOCATION","CITY HALL ADDRESS","CITY HALL CITY","CITY HALL STATE","CITY HALL ZIPCODE","CITY HALL PHONE","PHOTO LINK"
"1","La Spata, Daniel","1958 North Milwaukee Avenue","Chicago","IL","60647","(872) 206-2685","(312) 448-8829","Ward01@cityofchicago.org","https://www.the1stward.com/","    (41.91693959033054, -87.68782832298886)","121 North LaSalle Street, Room 300, Office 13","Chicago","IL","60602","(312) 744-3063 / 3074/6813","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/41A0E156-F788-EC11-8D20-001DD804FD38.jpg"
"2","Hopkins, Brian","121 North LaSalle Street, Room 300","Chicago","IL","60602","(312) 744-6836 / 9867/6213",,"office@aldermanhopkins.com","https://www.aldermanhopkins.com/","    (41.8837645981034, -87.63227535353653)",,,,,,"https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/B160E94E-FB88-EC11-8D20-001DD804FD38.jpg"
"3","Dowell, Pat","5046 South State Street","Chicago","IL","60609","(773) 373-9273","(773) 373-6852","Ward03@cityofchicago.org","http://www.ward03chicago.com","    (41.802355762759134, -87.62604643102554)","121 North LaSalle Street, Room 302","Chicago","IL","60602","(312) 744-8734 / 6712/3380","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/B66788C7-FA88-EC11-8D20-001DD804FD38.jpg"
"4","Robinson, Lamont J.","928 East 43rd Street","Chicago","IL","60653","(312)744-2690",,"Ward04@cityofchicago.org",,"    (41.81696894167837, -87.60284026002992)","121 North LaSalle Street, Room 300","Chicago","IL","60602","(312) 744-2690/8438","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/80D52B16-6AF3-ED11-A7C6-001DD804FC2B.jpg"
"5","Yancy, Desmon C.","2230 East 71st Street","Chicago","IL","60649","(312) 744-6832",,"Ward05@cityofchicago.org",,"    (41.766408479170444, -87.57015458712299)","121 N. LaSalle Street Room 200","Chicago","IL","60602","(312) 744-6832/3195","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/E0AC4B85-6AF3-ED11-A7C6-001DD804FC2B.jpg"
"6","Hall, William E.","8541 South State Street","Chicago","IL","60619","(773) 241-3100",,"Ward06@cityofchicago.org",,"    (41.73878805068228, -87.62405576399621)","121 N. LaSalle St. Room 300","Chicago","IL","60602","(312) 744-6868","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/7D95D6BB-6AF3-ED11-A7C6-001DD804FC2B.jpg"
"7","Mitchell, Gregory I.","2249 East 95th Street","Chicago","IL","60617","(773) 731-7777","(877) 961-4426","Ward07@cityofchicago.org","http://www.gregmitchell7thward.org/","    (41.722442957241576, -87.5686091420442)","121 North LaSalle Street, Room 304","Chicago","IL","60602","(312) 744-6833 / 3127/4096","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/2E656B9F-C373-EC11-8F8E-001DD804F9F3.jpg"
"8","Harris, Michelle A.","8539 South Cottage Grove Avenue","Chicago","IL","60619","(773) 874-3300","(773) 224-2425","Ward08@cityofchicago.org","http://www.Aldermanmichelleharris.net","    (41.739116033451914, -87.60474482318516)","121 Noth LaSalle Street, Room 200","Chicago","IL","60602","(312) 744-3075/6825","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/886B5C20-F788-EC11-8D20-001DD804FD38.jpg"
"9","Beale, Anthony","34 East 112th Place","Chicago","IL","60628","(773) 785-1100","(773) 785-2900","Ward09@cityofchicago.org","http://www.Ward09.com","    (41.68999053867947, -87.62172135901446)","121 North LaSalle Street, Room 200","Chicago","IL","60602","(312) 744-6838 / 3061","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/AC394D1C-F988-EC11-8D20-001DD804FD38.jpg"
"10","Chico, Peter","10500 South Ewing Avenue","Chicago","IL","60617","(773) 768-8138",,"Ward10@cityofchicago.org",,"    (41.70447282489701, -87.53543100590585)","121 North LaSalle Street, Room 200","Chicago","IL","60602","(312) 744-3078/5687","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/4C168A10-6BF3-ED11-A7C6-001DD804FC2B.jpg"
"11","Lee, Nicole T.","3659 South Halsted Street","Chicago","IL","60609","(773) 254-6677",,"Ward11@cityofchicago.org",,"    (41.82712971799162, -87.64587536247019)","121 North LaSalle Street, Room 300","Chicago","IL","60602","(312) 744-6663 / 6664","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/E29E5122-7BB7-EC11-983E-001DD8049E83.jpg"
"12","Ramirez, Julia M.","3868 South Archer Avenue","Chicago","IL","60632","(773) 475-6783",,"Ward12@cityofchicago.org",,"    (41.8232612536738, -87.68953146924507)","121 North Lasalle, Room 200","Chicago","IL","60632","(312) 744-3068/4025","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/9E248041-6BF3-ED11-A7C6-001DD804FC2B.jpg"
"13","Quinn, Marty","6500 South Pulaski Road","Chicago","IL","60629","(773) 581-8000","(773) 581-9414","Ward13@cityofchicago.org",,"    (41.7749649984353, -87.72281222681525)","121 North LaSalle Street, Room 300","Chicago","IL","60602","(312) 744-3058/3076","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/97A2C337-FC88-EC11-8D20-001DD804FD38.jpg"
"14","Gutierrez, Jeylu B.","3124 West 59th Street","Chicago","IL","60629","773-236-0117",,"Ward14@cityofchicago.org",,"    (41.7863770030716, -87.70207068555804)","121 North Lasalle, Room 300","Chicago","IL","60602","312-744-6580/6511","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/2E2DFB80-6BF3-ED11-A7C6-001DD804FC2B.jpg"
"15","Lopez, Raymond A.","2650 West 51st Street","Chicago","IL","60632","(773) 823-1539","(773) 424-8720","Ward15@cityofchicago.org","http://www.the15thward.org","    (41.80114728284117, -87.69116329942362)","121 North LaSalle Street, Room 300","Chicago","IL","60602","(312) 744-4321 / 4322","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/0AD4F54F-FC88-EC11-8D20-001DD804FD38.jpg"
"16","Coleman, Stephanie D.","1137 West 63rd Street, Unit C","Chicago","IL","60621","(773) 306-1981",,"Ward16@cityofchicago.org","https://www.16thward.org","    (41.7795132569961, -87.65351329474628)","121 North LaSalle Street, Room 300","Chicago","IL","60602","(312) 744-6850 / 6854","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/E019D2FB-F788-EC11-8D20-001DD804FD38.jpg"
"17","Moore, David H.","1344 West 79th Street","Chicago","IL","60620","(773) 783-3672",,"Ward17@cityofchicago.org","http://www.David.Moore@cityofchicago.org","    (41.75055928067845, -87.65699302450297)","121 North LaSalle Street, Room 300","Chicago","IL","60602","(312) 744-3435 / 3438","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/EF6C6F46-F988-EC11-8D20-001DD804FD38.jpg"
"18","Curtis, Derrick G.","8359 South Pulaski Road","Chicago","IL","60652","(773) 284-5057","(773) 284-5956","Ward18@cityofchicago.org",,"    (41.7403970065889, -87.72147416646396)","121 North LaSalle Street, Room 300","Chicago","IL","60602","(312) 744-6856 / 3087","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/EE27295C-FC88-EC11-8D20-001DD804FD38.jpg"
"19","O'Shea, Matthew J.","10400 South Western Avenue","Chicago","IL","60643","(773) 238-8766","(773) 672-5133","Ward19@cityofchicago.org","http://the19thward.com/","    (41.70446089084829, -87.68170835166211)","121 North LaSalle Street, Room 200","Chicago","IL","60602","(312) 744-3072 / 5682 /2679","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/8E62E57A-F788-EC11-8D20-001DD804FD38.jpg"
"20","Taylor, Jeanette B.","5401 South Wentworth Avenue, Suite 19E","Chicago","IL","60621","(773) 966-5336",,"Ward20@cityofchicago.org",,"    (41.796234875219376, -87.63040492438661)","121 North LaSalle Street, Room 300","Chicago","IL","60602","(312) 744-6840/5688/7738","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/E3010C0E-F888-EC11-8D20-001DD804FD38.jpg"
"21","Mosley, Ronnie L.","10805 South Halsted Street","Chicago","IL","60628","(773) 881-9300",,"Ward21@cityofchicago.org",,"    (41.69761926135305, -87.6423975379871)","121 North Lasalle, Room 200","Chicago","IL","60602","(312) 744-4810/4811","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/8B0682AE-6BF3-ED11-A7C6-001DD804FC2B.jpg"
"22","Rodriguez, Michael D.","2500 South St. Louis Avenue","Chicago","IL","60623","(773) 762-1771","(773) 762-1825","Ward22@cityofchicago.org",,"    (41.846147903054565, -87.71254636250174)","121 North LaSalle Street, Room 300, Office 30","Chicago","IL","60602","(312) 744-9491/9492/3325","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/40AA3439-736E-EC11-8F8E-001DD804FDD0.jpg"
"23","Tabares, Silvana","6247 South Archer Avenue","Chicago","IL","60638","(773) 582-4444","(773) 582-3332","Ward23@cityofchicago.org",,"    (41.79346683020117, -87.776264015314)","121 North LaSalle Street, Room 200, Office 14","Chicago","IL","60602","(312) 744-6828 / 5683","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/CD474D9F-F788-EC11-8D20-001DD804FD38.jpg"
"24","Scott, Monique L.","1158 South Keeler Street","Chicago","IL","60624","(773) 533-2400",,"ward24@cityofchicago.org",,"    (41.86614469477946, -87.73021219204163)","121 North LaSalle Street, Room 300","Chicago","IL","60602","(312) 744-6839/6849","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/70A44C5E-5EEE-EC11-BB3B-001DD805196E.jpg"
"25","Sigcho-Lopez, Byron","2100 West Cermak Road","Chicago","IL","60608","(773) 523-4100",,"Ward25@cityofchicago.org","https://www.25thward.org","    (41.85224518559459, -87.67841788835032)","121 North LaSalle Street, Room 200, Office 11","Chicago","IL","60602","(312) 744-0209/1997/0584","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/9F0FC064-F988-EC11-8D20-001DD804FD38.jpg"
"26","Fuentes, Jessica L.","2511 West Division Street","Chicago","IL","60602","(773) 395-0143",,"Ward26@cityofchicago.org",,"    (41.9028790569398, -87.68994499363095)","121 N. La Salle St. Room 200","Chicago","IL","60602","(312) 744-6853/4198","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/85DA45DD-6BF3-ED11-A7C6-001DD804FC2B.jpg"
"27","Burnett, Walter R.","4 North Western Avenue, Unit 1C","Chicago","IL","60618","(312) 432-1995","(312) 432-1049","Ward27@cityofchicago.org","http://aldermanburnett.com/","    (41.88126893284509, -87.68658173977015)","121 North LaSalle Street, Room 300, Office 38","Chicago","IL","60602","(312) 744-6124/6125","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/81F21A0D-F16E-F011-BEC1-001DD8096BE6.jpg"
"28","Ervin, Jason C.","2622 West Jackson Boulevard, Suite 200A","Chicago","IL","60612","(773) 533-0900","(773) 522-9842","Ward28@cityofchicago.org","http://www.AldermanErvin.com/","    (41.87758996814665, -87.692316912449)","121 North LaSalle Street, Room 200, Office 18","Chicago","IL","60602","(312) 744-3066/3097/3166","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/C5C5987A-FC88-EC11-8D20-001DD804FD38.jpg"
"29","Taliaferro, Chris","6272 West North Avenue","Chicago","IL","60639","(773) 237-6460","(773) 237-6418","Ward29@cityofchicago.org","http://www.aldtaliaferro.com","    (41.90928313249773, -87.78299907262357)","121 North LaSalle Street, Room 300","Chicago","IL","60602","(312) 744-8805 / 5486","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/F113CA93-FC88-EC11-8D20-001DD804FD38.jpg"
"30","Cruz, Ruth","5418 W. Belmont Ave","Chicago","IL","60641","(773) 628-7874",,"Ward30@cityofchicago.org",,"    (41.93873912421377, -87.76236826862518)","121 N. LaSalle St. Room 200","Chicago","IL","60602","(312) 744-3304/3305","https://occprodstoragev1.blob.core.usgovcloudapi.net/council-profile-pictures/C7422EFD-6BF3-ED11-A7C6-001DD804FC2B.jpg"
